Support Library class,Android X class,Similarity,Support,AndroidX,Percentage
android.support.transition.AutoTransition,androidx.transition.AutoTransition,1,7,5610,0.12%
android.support.v4.app.SupportActivity,androidx.core.app.ComponentActivity,0.5479,7,141,4.96%
android.support.v4.graphics.drawable.RoundedBitmapDrawable,androidx.core.graphics.drawable.RoundedBitmapDrawable,1,7,499,1.4%
android.support.v4.view.ScaleGestureDetectorCompat,androidx.core.view.ScaleGestureDetectorCompat,0.9909,7,65,10.77%
android.support.v7.view.menu.MenuPopupHelper,androidx.appcompat.view.menu.MenuPopupHelper,0.999,7,115,6.09%
android.support.v7.widget.AppCompatMultiAutoCompleteTextView,androidx.appcompat.widget.AppCompatMultiAutoCompleteTextView,0.9423,7,480,1.46%
android.support.v7.widget.TooltipCompat,androidx.appcompat.widget.TooltipCompat,0.9878,7,5329,0.13%
android.support.constraint.ConstraintSet,androidx.constraintlayout.widget.ConstraintSet,0.9893,6,3767,0.16%
android.support.v13.app.FragmentPagerAdapter,androidx.legacy.app.FragmentPagerAdapter,1,6,25,24.0%
android.support.v4.graphics.drawable.RoundedBitmapDrawableFactory,androidx.core.graphics.drawable.RoundedBitmapDrawableFactory,1,6,444,1.35%
android.support.v4.widget.SimpleCursorAdapter,androidx.cursoradapter.widget.SimpleCursorAdapter,1,6,114,5.26%
android.support.v7.view.menu.MenuPresenter,androidx.appcompat.view.menu.MenuPresenter,1,6,5007,0.12%
android.support.v7.widget.AppCompatImageHelper,androidx.appcompat.widget.AppCompatImageHelper,0.9951,6,5295,0.11%
android.support.v7.widget.AppCompatRatingBar,androidx.appcompat.widget.AppCompatRatingBar,0.9965,6,504,1.19%
android.support.transition.TransitionSet,androidx.transition.TransitionSet,0.9997,5,5652,0.09%
android.support.v4.app.AppOpsManagerCompat,androidx.core.app.AppOpsManagerCompat,0.9734,5,170,2.94%
android.support.v4.app.FragmentHostCallback,androidx.fragment.app.FragmentHostCallback,0.9963,5,67,7.46%
android.support.v4.app.LoaderManagerImpl,androidx.loader.app.LoaderManagerImpl,0.9993,5,42,11.9%
android.support.v4.graphics.PathParser,androidx.core.graphics.PathParser,0.999,5,2863,0.17%
android.support.v4.print.PrintHelper,androidx.print.PrintHelper,1,5,74,6.76%
android.support.v7.preference.PreferenceCategory,androidx.preference.PreferenceCategory,0.955,5,224,2.23%
android.support.v7.view.ActionMode,androidx.appcompat.view.ActionMode,1,5,223,2.24%
android.support.v7.widget.AppCompatBackgroundHelper,androidx.appcompat.widget.AppCompatBackgroundHelper,0.9989,5,5,100.0%
android.support.v7.widget.ShareActionProvider,androidx.appcompat.widget.ShareActionProvider,1,5,70,7.14%
android.support.v7.widget.util.SortedListAdapterCallback,androidx.recyclerview.widget.SortedListAdapterCallback,1,5,25,20.0%
android.support.v4.app.FragmentTransitionImpl,androidx.fragment.app.FragmentTransitionImpl,0.9323,4,50,8.0%
android.support.v4.content.IntentCompat,androidx.core.content.IntentCompat,0.8738,4,5,80.0%
android.support.v4.math.MathUtils,androidx.core.math.MathUtils,0.6021,4,5160,0.08%
android.support.v4.os.IResultReceiver,androidx.core.os.IResultReceiver,-1,4,0,0
android.support.v4.view.AbsSavedState,androidx.customview.view.AbsSavedState,1,4,6561,0.06%
android.support.v4.view.accessibility.AccessibilityEventCompat,androidx.core.view.accessibility.AccessibilityEventCompat,0.99,4,145,2.76%
android.support.v4.view.PagerTitleStrip,androidx.viewpager.widget.PagerTitleStrip,1,4,72,5.56%
android.support.v4.view.ScrollingView,androidx.core.view.ScrollingView,1,4,69,5.8%
android.support.v4.widget.ResourceCursorAdapter,androidx.cursoradapter.widget.ResourceCursorAdapter,1,4,44,9.09%
android.support.v7.preference.EditTextPreference,androidx.preference.EditTextPreference,0.9623,4,551,0.73%
android.support.v7.preference.PreferenceManager,androidx.preference.PreferenceManager,1,4,1420,0.28%
android.support.v7.recyclerview.extensions.ListAdapter,androidx.recyclerview.widget.ListAdapter,0.8971,4,1116,0.36%
android.support.v7.util.ListUpdateCallback,androidx.recyclerview.widget.ListUpdateCallback,1,4,199,2.01%
android.support.v7.util.SortedList,androidx.recyclerview.widget.SortedList,0.9999,4,72,5.56%
android.support.v7.view.menu.BaseWrapper,androidx.appcompat.view.menu.BaseWrapper,-1,4,0,0
android.support.v7.widget.ActivityChooserView,androidx.appcompat.widget.ActivityChooserView,1,4,79,5.06%
android.support.v7.widget.RecyclerViewAccessibilityDelegate,androidx.recyclerview.widget.RecyclerViewAccessibilityDelegate,0.824,4,4461,0.09%
android.support.v13.app.FragmentStatePagerAdapter,androidx.legacy.app.FragmentStatePagerAdapter,1,3,10,30.0%
android.support.v4.app.BackStackRecord,androidx.fragment.app.BackStackRecord,0.9146,3,78,3.85%
android.support.v4.app.FragmentContainer,androidx.fragment.app.FragmentContainer,1,3,22,13.64%
android.support.v4.content.res.TypedArrayUtils,androidx.core.content.res.TypedArrayUtils,0.9944,3,58,5.17%
android.support.v4.util.ObjectsCompat,androidx.core.util.ObjectsCompat,0.9377,3,5073,0.06%
