support,androidx,similarity,manual check
android.support.wearable.view.drawer.PageIndicatorView,androidx.slice.widget.SliceViewUtil,60.20%,0
android.support.wearable.view.DotsPageIndicator,androidx.slice.widget.SliceViewUtil,60.33%,0
android.support.design.widget.BottomSheetDialog,androidx.databinding.adapters.ViewBindingAdapter,60.35%,0
android.support.design.widget.ViewOffsetHelper,androidx.wear.tiles.renderer.internal.RatioViewWrapper,60.36%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.ForwardingFluentFuture,androidx.test.espresso.web.internal.deps.guava.util.concurrent.Futures,60.38%,0
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.ForwardingFluentFuture,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.Futures,60.38%,0
android.support.design.animation.ImageMatrixProperty,androidx.input.motionprediction.kalman.KalmanFilter,60.47%,0
android.support.wearable.watchface.decomposition.DateTimeComponent,androidx.core.view.accessibility.AccessibilityViewCommand,60.53%,0
android.support.wearable.watchface.decompositionface.DigitDrawable,androidx.slice.widget.SliceViewUtil,60.57%,0
android.support.media2.MediaTimestamp2,androidx.media2.player.MediaTimestamp,60.65%,0
android.support.design.widget.CollapsingTextHelper,androidx.ui.material.SliderKt,60.89%,0
android.support.wearable.view.GridPagerAdapter,kotlin.jvm.internal.InlineMarker,60.94%,0
android.support.wearable.view.WatchViewStub,androidx.paging.PagingConfig,61.13%,0
android.support.design.transformation.FabTransformationSheetBehavior,androidx.wear.tiles.renderer.internal.ImageViewWithoutIntrinsicSizes,61.16%,0
android.support.wearable.watchface.decomposition.ComplicationComponent,androidx.core.view.accessibility.AccessibilityViewCommand,61.28%,0
android.support.wearable.view.ProgressSpinner,androidx.ui.material.SliderKt,61.28%,0
android.support.design.animation.MotionTiming,kotlin.random.RandomKt,61.34%,0
android.support.wearable.complications.TimeFormatText,kotlinx.coroutines.internal.SystemPropsKt__SystemProps_commonKt,61.36%,0
android.support.wearable.watchface.decomposition.ColorStringComponent,androidx.core.view.accessibility.AccessibilityViewCommand,61.43%,0
android.support.media2.MediaConstants2,androidx.camera.camera2.internal.CameraDeviceId,61.49%,0
android.support.design.widget.BaseTransientBottomBar,androidx.databinding.adapters.ViewBindingAdapter,61.50%,0
android.support.wearable.complications.SystemProviders,androidx.compose.runtime.BitwiseOperatorsKt,61.53%,0
android.support.media2.MediaBrowser2,androidx.browser.trusted.TrustedWebActivityServiceConnection,61.75%,0
android.support.design.widget.FloatingActionButton,androidx.slice.widget.SliceViewUtil,61.78%,0
android.support.media2.MediaBrowser2ImplBase,androidx.media3.database.VersionTable,61.91%,0
android.support.design.shape.CornerTreatment,androidx.animation.AnimationVectorsKt,62.03%,0
android.support.design.behavior.HideBottomViewOnScrollBehavior,androidx.databinding.adapters.ViewBindingAdapter,62.05%,0
android.support.media2.SessionToken2ImplLegacy,android.databinding.tool.util.ParserHelper,62.07%,0
android.support.media2.TimedMetaData2,androidx.media2.player.TimedMetaData,62.14%,0
android.support.wearable.view.ObservableScrollView,androidx.wear.tiles.renderer.internal.ImageViewWithoutIntrinsicSizes,62.20%,0
android.support.test.internal.runner.junit3.NoExecTestResult,androidx.test.internal.runner.junit3.NonExecutingTestResult,62.29%,0
android.support.design.internal.NavigationMenuPresenter,androidx.wear.tiles.renderer.internal.TileRendererInternal,62.33%,0
android.support.design.widget.BottomNavigationView,androidx.slice.widget.SliceViewUtil,62.40%,0
android.support.wearable.view.drawer.WearableActionDrawerMenu,kotlin.UIntArray,62.43%,0
